Rank,Nickname,Points,Insane_pts,List_of_insane_maps
423,tinkywinky,3709,34,[('Adrenaline 4.1', 34)]
424,[Ä¢Ã¸Å´]Lickout,3722,84,[('Back in Time 2', 42), ('4u', 42)]
425,Dubstep,3725,34,[('4q', 34)]
426,Yuzu,3730,34,[('Genericore 6', 34)]
427,Lisica,3778,34,[('Generic World', 34)]
428,archimede67,3812,34,[('Ton', 34)]
429,iKizu,3813,34,[('Binary', 34)]
430,Ellie,3830,42,[('Back in Time 2', 42)]
431,Frucht,3859,144,[('Not Naufrage 4', 34), ('Genericore 6', 34), ('Back in Time 2', 42), ('Regen 2', 34)]
432,Takito,3892,34,[('Springlobe 3', 34)]
433,Regedit|,3925,68,[('Aimazing', 34), ('Springlobe 3', 34)]
434,Arii,3956,42,[('Back in Time 2', 42)]
435,lil cyclic,3958,114,[('Genericore 6', 34), ('Ravillion', 38), ('Tatooine 2', 42)]
436,Ronex,3971,34,[('Adrenaline 4.1', 34)]
437,RedPig,4011,34,[('Shockwave', 34)]
438,Savage:*,4014,34,[("Yo'Ci", 34)]
439,ulit-ulit,4034,42,[('Back in Time 2', 42)]
440,Black-_-lotus.,4037,102,[('Adrenaline 4.1', 34), ('Generic World', 34), ('Adrenaline 4.2', 34)]
441,Hard?,4057,42,[('Back in Time 2', 42)]
442,ScreaT,4065,42,[('Back in Time 2', 42)]
443,Xusep,4077,34,[('Adrenaline 4.2', 34)]
444,7ll,4096,34,[('Springlobe 3', 34)]
445,walala,4098,34,[('Generic World', 34)]
446,Horst,4182,34,[('4q', 34)]
447,Itachi,4198,34,[('Justice', 34)]
448,=Denkst du=,4214,34,[('Generic World', 34)]
449,Towa,4242,110,[('Binary', 34), ('Back in Time 2', 42), ('Shockwave', 34)]
450,HaHAxD,4245,38,[('New Generation', 38)]
451,Krumplee,4246,34,[('Springlobe 3', 34)]
452,Styx,4260,80,[('Ravillion', 38), ('Heartcore', 42)]
453,RavQ,4303,72,[('Binary', 34), ('Ravillion', 38)]
454,Latunix,4330,42,[('Back in Time 2', 42)]
455,Monkey D. Luffy,4429,72,[('Genericore 8', 38), ('4q', 34)]
456,Zubastik,4459,42,[('4u', 42)]
457,Chao,4486,250,[('Binary', 34), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
458,MisterX,4505,114,[('Binary', 34), ('Ravillion', 38), ('Back in Time 2', 42)]
459,*LooGiaH.,4517,34,[('Springlobe 3', 34)]
460,Sunshine,4523,42,[('4u', 42)]
461,bluekitty,4547,38,[('HellCore', 38)]
462,Gobrox,4610,102,[('Adrenaline 4.2', 34), ('Genericore 6', 34), ('4q', 34)]
463,Agressor,4610,38,[('Ravillion', 38)]
464,nexusrf,4636,34,[('Not Naufrage 4', 34)]
465,Prozzle,4694,34,[('Generic World', 34)]
466,Ð¡Ð»Ð°Ð²ÐºÐ°,4722,34,[('Ton', 34)]
467,wÎ±Ñ‚Ñ•,4764,106,[('Generic World', 34), ('Ravillion', 38), ('Springlobe 3', 34)]
468,miamia,4772,34,[('Adrenaline 4.2', 34)]
469,cc,4784,486,[('Aimlicious', 42), ('Ton', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Firestone', 38), ('Springlobe 3', 34), ('Tatooine 2', 42), ('Aimazing', 34), ('Heartcore', 42), ('4q', 34), ('4u', 42), ('Nether', 34), ('Resistance', 38)]
470,Moooo,4815,34,[('Adrenaline 4.1', 34)]
471,ZP|SplashFace',4868,68,[('Generic World', 34), ('Aimazing', 34)]
472,Ravie,4872,34,[('Binary', 34)]
473,.DanieL.,4882,148,[('New Generation', 38), ('Shockwave', 34), ('Adrenaline 4.2', 34), ('Tatooine 2', 42)]
474,f4bian,4937,38,[('Ravillion', 38)]
475,Bixes,4942,34,[('Justice', 34)]
476,ania,4948,34,[('Justice', 34)]
477,Frieze_42rus,4956,38,[('Ravillion', 38)]
478,Imba,4959,68,[('Ton', 34), ('4q', 34)]
479,Dimp,4967,34,[('Ton', 34)]
480,~Thunder~,5009,80,[('Genericore 8', 38), ('4u', 42)]
481,Gridwyn,5029,38,[('Ravillion', 38)]
482,Bibi,5036,34,[('Genericore 6', 34)]
483,JULITO CESAR,5090,136,[('Adrenaline 4.1', 34), ('Genericore 6', 34), ('Adrenaline 4.2', 34), ('Springlobe 3', 34)]
484,EryX,5093,68,[('Genericore 6', 34), ('Generic World', 34)]
485,Pantoja,5133,68,[('Shockwave', 34), ('Genericore 6', 34)]
486,SoSb,5159,114,[('Ravillion', 38), ('Regen 2', 34), ('4u', 42)]
487,Plowpowa,5177,34,[("Yo'Ci", 34)]
488,DarkOort,5179,76,[('Binary', 34), ('4u', 42)]
489,souuu,5202,34,[('Springlobe 3', 34)]
490,Keira,5218,38,[('Ravillion', 38)]
491,Hop,5225,76,[('Binary', 34), ('Back in Time 2', 42)]
492,cB YoU,5260,34,[('4q', 34)]
493,Hey, fuck you!,5267,68,[('Binary', 34), ('Springlobe 3', 34)]
494,TheGhast,5282,34,[('Shockwave', 34)]
495,Koksy,5283,34,[('Aimazing', 34)]
496,Testosteron.',5294,68,[('Genericore 6', 34), ('4q', 34)]
497,SBL,5315,34,[("Yo'Ci", 34)]
498,Frosty,5365,406,[('Aimlicious', 42), ('Shockwave', 34), ('Genericore 8', 38), ('Aimazing', 34), ('Falling Down', 38), ('The Enchanted Clearing', 34), ('4q', 34), ('4u', 42), ('New Generation', 38), ('Ton', 34), ('Resistance', 38)]
499,ChillerDragon,5368,34,[('Shockwave', 34)]
500,Mizkibo,5383,76,[('Back in Time 2', 42), ('Springlobe 3', 34)]
501,UnCool Me,5398,42,[('4u', 42)]
502,Spooky,5401,296,[('Aimlicious', 42), ('Binary', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Springlobe 3', 34), ('Ghoul', 42), ('Generic World', 34), ('Resistance', 38)]
503,sheep,5430,42,[('Justice 2', 42)]
504,AM|Notoriousâœ”,5447,34,[('Genericore 6', 34)]
505,Natsume,5506,68,[('Ton', 34), ('Aimazing', 34)]
506,Bschil,5521,34,[('Adrenaline 4.1', 34)]
507,Farbod,5525,34,[('Ton', 34)]
508,painn,5599,42,[('4u', 42)]
509,Re,5646,34,[('Springlobe 3', 34)]
510,ThatIvan69,5671,34,[('Adrenaline 4.1', 34)]
511,fox,5680,68,[('Generic World', 34), ('Aimazing', 34)]
512,Æ¤Ã˜Å¢Ä€Å¤0|Co,5706,34,[('Shockwave', 34)]
513,[D]NovaShock,5710,34,[('Binary', 34)]
514,brain,5715,68,[('Generic World', 34), ('Genericore 6', 34)]
515,WojMen,5720,34,[('Springlobe 3', 34)]
516,hZedres,5733,42,[('Back in Time 2', 42)]
517,meew',5774,34,[('Generic World', 34)]
518,Avasus,5901,136,[('Shockwave', 34), ('Genericore 6', 34), ('4q', 34), ('Generic World', 34)]
519,Nekoma,5903,106,[('New Generation', 38), ('Adrenaline 4.1', 34), ('Springlobe 3', 34)]
520,[NC]Slifer,5941,76,[('Genericore 6', 34), ('4u', 42)]
521,nealson T'nP,6027,72,[('Binary', 34), ('Falling Down', 38)]
522,holic,6032,34,[('Binary', 34)]
523,Anxton,6082,106,[('Binary', 34), ('Ravillion', 38), ('Springlobe 3', 34)]
524,Knacker,6102,34,[('Shockwave', 34)]
525,kenzo,6209,346,[('Shockwave', 34), ('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Justice 2', 42), ('Tatooine 2', 42), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('4q', 34), ('4u', 42)]
526,#eci.in`,6234,34,[('Adrenaline 4.1', 34)]
527,Cartman,6252,34,[('Generic World', 34)]
528,rezee,6262,300,[('Aimlicious', 42), ('Binary', 34), ('Ravillion', 38), ('Aimazing', 34), ("Yo'Ci", 34), ('Firestone', 38), ('Heartcore', 42), ('Resistance', 38)]
529,gB. | FeIs,6271,34,[('Generic World', 34)]
530,Noez,6295,102,[('Generic World', 34), ('Aimazing', 34), ('Regen 2', 34)]
531,King,6329,34,[('Ton', 34)]
532,FapMan,6357,266,[('Genericore 8', 38), ('Genericore 6', 34), ("Yo'Ci", 34), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('4q', 34), ('4u', 42)]
533,Beast,6358,34,[('Genericore 6', 34)]
534,Greeen,6387,34,[('Shockwave', 34)]
535,TOWARISH,6389,42,[('Back in Time 2', 42)]
536,Luna,6439,68,[('4q', 34), ('Springlobe 3', 34)]
537,OnePiece,6449,174,[('Genericore 6', 34), ('Firestone', 38), ('Springlobe 3', 34), ('Not Naufrage 4', 34), ('Ton', 34)]
538,Cloudly,6460,212,[('Binary', 34), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Falling Down', 38), ('4q', 34)]
539,Lwai,6515,342,[('Binary', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Justice 2', 42), ('Springlobe 3', 34), ('Heartcore', 42), ('Generic World', 34), ('Back in Time 2', 42), ('4u', 42)]
540,Monkeyja,6520,42,[('4u', 42)]
541,bob,6524,34,[("Yo'Ci", 34)]
542,Reonarex,6549,38,[('Ravillion', 38)]
543,xeno,6556,342,[('Adrenaline 5', 42), ('Binary', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Firestone', 38), ('Aimazing', 34), ('Grim Reaper', 50), ('Adrenaline 4.1', 34), ('New Generation', 38)]
544,Makima,6574,102,[('Shockwave', 34), ('Adrenaline 4.2', 34), ('Springlobe 3', 34)]
545,MilTee,6625,224,[('Binary', 34), ('Ravillion', 38), ('Aimazing', 34), ('Tatooine 2', 42), ('Heartcore', 42), ('Generic World', 34)]
546,Neger,6640,110,[('Shockwave', 34), ("Yo'Ci", 34), ('4u', 42)]
547,nopea,6640,242,[('Binary', 34), ('Ravillion', 38), ('Aimazing', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Not Naufrage 4', 34), ('4q', 34)]
548,Spyker,6649,80,[('Ghoul', 42), ('Falling Down', 38)]
549,Shadou,6663,346,[('Adrenaline 5', 42), ('Genericore 8', 38), ('Genericore 6', 34), ("Yo'Ci", 34), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('4q', 34), ('HellCore', 38), ('4u', 42)]
550,Poltix,6709,34,[('Not Naufrage 4', 34)]
551,Lenah,6718,144,[('Genericore 6', 34), ("Yo'Ci", 34), ('Back in Time 2', 42), ('Springlobe 3', 34)]
552,cB|timur,6722,38,[('New Generation', 38)]
553,WAFthfguaq19012,6744,76,[('Binary', 34), ('Heartcore', 42)]
554,Syltoox,6793,266,[('Shockwave', 34), ('Genericore 8', 38), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('Back in Time 2', 42), ('4u', 42)]
555,Â¥Ã¸Â¢,6852,72,[('New Generation', 38), ('Adrenaline 4.1', 34)]
556,RedFight,6853,34,[('Aimazing', 34)]
557,lNobody22l,6958,42,[('4u', 42)]
558,Ä»Ã¥Ò• | Duck,6961,34,[('Generic World', 34)]
559,okmine|Bro,6994,72,[('The Enchanted Clearing', 34), ('HellCore', 38)]
560,tobu.,7012,34,[('Genericore 6', 34)]
561,itsnoKonsti,7027,34,[('Binary', 34)]
562,egorfake,7078,38,[('Ravillion', 38)]
563,Elephant,7086,182,[('Binary', 34), ('Justice', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('Heartcore', 42)]
564,Miu,7171,114,[('Ton', 34), ('Ravillion', 38), ('Back in Time 2', 42)]
565,ShenFRusH,7183,76,[('Ton', 34), ('Back in Time 2', 42)]
566,Folugen,7184,106,[('Binary', 34), ('Ravillion', 38), ("Yo'Ci", 34)]
567,VÃ©Na,7185,288,[('Binary', 34), ('Justice', 34), ('Ravillion', 38), ('Firestone', 38), ("Yo'Ci", 34), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('Ton', 34)]
568,Lord.YoYo,7185,34,[('Generic World', 34)]
569,Blum,7210,34,[('Adrenaline 4.2', 34)]
570,Gwendal,7216,68,[('Binary', 34), ('Ton', 34)]
571,Ryozuki,7219,72,[('Adrenaline 4.2', 34), ('HellCore', 38)]
572,Fallet',7234,186,[('Genericore 8', 38), ('Ravillion', 38), ('Adrenaline 4.1', 34), ('Heartcore', 42), ('4q', 34)]
573,Sasori,7312,140,[('Shockwave', 34), ('Ton', 34), ("Yo'Ci", 34), ('HellCore', 38)]
574,Jore,7368,34,[('Springlobe 3', 34)]
575,Ninja_Valik,7457,102,[('Generic World', 34), ('Aimazing', 34), ('Justice', 34)]
576,SP | Someone,7464,76,[('Shockwave', 34), ('Heartcore', 42)]
577,Bawki,7512,34,[('Springlobe 3', 34)]
578,Trap,7542,72,[('Generic World', 34), ('Ravillion', 38)]
579,3oTo,7586,42,[('4u', 42)]
580,:0,7634,76,[('Not Naufrage 4', 34), ('Back in Time 2', 42)]
581,Rage,7680,76,[('Adrenaline 4.1', 34), ('4u', 42)]
582,Kaniosek,7683,72,[('Binary', 34), ('Ravillion', 38)]
583,Imperius,7715,38,[('Ravillion', 38)]
584,Bolox,7785,34,[('Ton', 34)]
585,Mafuyu,7821,212,[('Springlobe 3', 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('Ton', 34), ('4u', 42)]
586,*~Cooki3~*,7823,38,[('Ravillion', 38)]
587,darky,7846,72,[('HellCore', 38), ('Regen 2', 34)]
588,AspHyXiA,7848,34,[("Yo'Ci", 34)]
589,dIeD,7866,34,[('Generic World', 34)]
590,gdin,7870,68,[('Springlobe 3', 34), ('4q', 34)]
591,NYZE,7894,76,[('Ton', 34), ('4u', 42)]
592,RayB.,7911,68,[('Adrenaline 4.1', 34), ('4q', 34)]
593,DoubleDipp,7952,34,[('Shockwave', 34)]
594,Millar.-,7958,34,[('Shockwave', 34)]
595,Miausuke,8001,34,[('Shockwave', 34)]
596,Mos,8016,34,[("Yo'Ci", 34)]
597,Ninjed,8057,38,[('Falling Down', 38)]
598,snailx3,8061,334,[('Regen 2', 34), ('Genericore 6', 34), ('The Enchanted Clearing', 34), ('4q', 34), ('4u', 42), ('New Generation', 38), ('Ghoul', 42), ('HellCore', 38), ('Resistance', 38)]
599,bindi,8179,42,[('4u', 42)]
600,Novo c:,8216,72,[('HellCore', 38), ('Justice', 34)]
601,Loop :3,8341,144,[('Generic World', 34), ('Justice 2', 42), ('Justice', 34), ('4q', 34)]
602,Toto Reculiao,8351,34,[('Shockwave', 34)]
603,SPÎžCTRUM,8360,42,[('Back in Time 2', 42)]
604,15,8393,34,[('Springlobe 3', 34)]
605,=phacrum=,8401,110,[('The Enchanted Clearing', 34), ('Justice 2', 42), ('Justice', 34)]
606,Sui :3,8432,34,[('Justice', 34)]
607,Sama,8449,144,[('Binary', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('Resistance', 38)]
608,Larlok,8496,178,[('Ton', 34), ('Genericore 6', 34), ('Aimazing', 34), ('Generic World', 34), ('4u', 42)]
609,DataClaw,8573,114,[('Adrenaline 5', 42), ('Firestone', 38), ('Regen 2', 34)]
610,maniac,8603,68,[('Binary', 34), ('Generic World', 34)]
611,Julia :3,8632,140,[('Binary', 34), ('Generic World', 34), ('Ravillion', 38), ('Springlobe 3', 34)]
612,Vendetta,8706,950,[('Aimlicious', 42), ('Justice', 34), ('Grim Reaper', 50), ('Firestone', 38), ('Tatooine 2', 42), ('The Enchanted Clearing', 34), ('Heartcore II', 50), ('Heartcore', 42), ('4q', 34), ('Generic World', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Aimazing', 34), ('Binary', 34), ('Genericore 8', 38), ('Shockwave', 34), ('Genericore 6', 34), ("Yo'Ci", 34), ('Springlobe 3', 34), ('Falling Down', 38), ('New Generation', 38), ('Ghoul', 42), ('HellCore', 38)]
613,natchies,8715,34,[('Springlobe 3', 34)]
614,kill the tee,8722,34,[('Binary', 34)]
615,Jambi*,8815,34,[('Generic World', 34)]
616,Habibi57,8885,102,[('Generic World', 34), ('Genericore 6', 34), ('Aimazing', 34)]
617,Deeper,8933,72,[('Aimazing', 34), ('HellCore', 38)]
618,Pfandflasche,8965,144,[('Not Naufrage 4', 34), ('Genericore 6', 34), ('Back in Time 2', 42), ('Springlobe 3', 34)]
619,Issi,8997,42,[('Heartcore', 42)]
620,Kandiifloss,9094,178,[('Ravillion', 38), ('Firestone', 38), ('Aimazing', 34), ('Not Naufrage 4', 34), ('Generic World', 34)]
621,Joker.â™¥,9095,72,[('Springlobe 3', 34), ('Resistance', 38)]
622,Donger,9114,72,[('Binary', 34), ('Ravillion', 38)]
623,(D)Cor,9139,296,[('Adrenaline 5', 42), ('Binary', 34), ('Regen 2', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Falling Down', 38), ('Generic World', 34), ('4u', 42)]
624,xXxTee',9184,118,[('Binary', 34), ('Adrenaline 4.2', 34), ('Adrenaline 4', 50)]
625,kezo,9231,448,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Genericore 8', 38), ('Genericore 6', 34), ('Aimazing', 34), ("Yo'Ci", 34), ('Adrenaline 4', 50), ('Adrenaline 4.1', 34), ('4q', 34), ('Ton', 34), ('HellCore', 38), ('4u', 42)]
626,Lumpy â—Ï‰â—‘,9257,68,[('Adrenaline 4.2', 34), ('Genericore 6', 34)]
627,Fimp,9274,144,[('New Generation', 38), ('Generic World', 34), ('Ravillion', 38), ('Regen 2', 34)]
628,(1)TyÑˆkaNÑ‡uk,9285,102,[('Genericore 6', 34), ('Aimazing', 34), ('4q', 34)]
629,LCSG47,9393,148,[('Binary', 34), ('Back in Time 2', 42), ('Shockwave', 34), ('Firestone', 38)]
630,StorÐ¼PÊœÃ¶É´ix,9399,34,[('4q', 34)]
631,Tyga.,9431,250,[('Binary', 34), ('Ravillion', 38), ("Yo'Ci", 34), ('4q', 34), ('New Generation', 38), ('Shawker', 34), ('Resistance', 38)]
632,Gooran,9505,68,[('Adrenaline 4.1', 34), ('Genericore 6', 34)]
633,Neben,9521,376,[('Aimlicious', 42), ('Binary', 34), ('Justice', 34), ('Ravillion', 38), ('Firestone', 38), ('Aimazing', 34), ('Springlobe 3', 34), ('Heartcore', 42), ('New Generation', 38), ('Back in Time 2', 42)]
634,=645654=,9529,110,[('The Enchanted Clearing', 34), ('Justice 2', 42), ('Justice', 34)]
635,(1),9544,34,[('Binary', 34)]
636,ZiKkie,9634,220,[('Shockwave', 34), ('Genericore 8', 38), ('Springlobe 3', 34), ('4q', 34), ('New Generation', 38), ('4u', 42)]
637,Qywinc,9638,114,[('Binary', 34), ('Ravillion', 38), ('Heartcore', 42)]
638,Beard,9659,34,[('Springlobe 3', 34)]
639,PlantKnight,9674,42,[('Back in Time 2', 42)]
640,âš¡-ÓƒRÙ¡âœ—âœ—,9707,34,[('Genericore 6', 34)]
641,fikmesÃ¥n,9751,76,[('Ton', 34), ('4u', 42)]
642,clefairy',9754,68,[('Genericore 6', 34), ('4q', 34)]
643,Themix,9800,34,[('Justice', 34)]
644,DA`VI,9835,42,[('Back in Time 2', 42)]
645,Hunter13ua,9865,38,[('Ravillion', 38)]
646,Tezcan,9935,34,[('Generic World', 34)]
647,'C×¡ugÎ±râ™«,9936,140,[('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Ravillion', 38), ("Yo'Ci", 34)]
648,R41NB0W,10045,34,[('4q', 34)]
649,venoM,10204,76,[('Binary', 34), ('Heartcore', 42)]
650,2oo,10207,178,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Genericore 6', 34), ('Adrenaline 4.1', 34), ('Generic World', 34)]
651,-TwistÂ°~,10251,68,[('Genericore 6', 34), ('Springlobe 3', 34)]
652,MÃ˜tiv,10325,458,[('Binary', 34), ('Adrenaline 4.2', 34), ('Shockwave', 34), ('Genericore 6', 34), ('Firestone', 38), ('Springlobe 3', 34), ('Generic World', 34), ('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('New Generation', 38), ('Ton', 34), ('Back in Time 2', 42)]
653,Reed,10330,68,[('Shockwave', 34), ('Aimazing', 34)]
654,Skyrx,10334,174,[('Binary', 34), ('Adrenaline 4.2', 34), ('Ravillion', 38), ('Adrenaline 4.1', 34), ('Generic World', 34)]
655,lola,10414,38,[('HellCore', 38)]
656,ÉŒÊ˜ÏšÐšá»¤á¹¨,10420,428,[('Binary', 34), ('Shockwave', 34), ('Regen 2', 34), ('Genericore 6', 34), ('Ravillion', 38), ('Firestone', 38), ("Yo'Ci", 34), ('Aimazing', 34), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('Ton', 34), ('Resistance', 38)]
657,bol'shaya hyina,10464,34,[('4q', 34)]
658,Filis,10692,254,[('Binary', 34), ('Shockwave', 34), ('Genericore 6', 34), ('Firestone', 38), ('New Generation', 38), ('Ton', 34), ('4u', 42)]
659,Bre3kAcHu,10758,42,[('Back in Time 2', 42)]
660,Im 'corneum,10784,34,[('Regen 2', 34)]
661,Jim-panse,10796,76,[('Genericore 6', 34), ('4u', 42)]
662,Pwner,10816,34,[('Aimazing', 34)]
663,Hydra,10824,38,[('Resistance', 38)]
664,ÐœÐ°Ð¼Ð±Ð¾,10852,170,[('Adrenaline 4.2', 34), ("Yo'Ci", 34), ('Not Naufrage 4', 34), ('Adrenaline 4.1', 34), ('4q', 34)]
665,Akari,10882,140,[('Adrenaline 4.1', 34), ('Ton', 34), ('Ravillion', 38), ('Shockwave', 34)]
666,Rentom12,10892,34,[('Shockwave', 34)]
667,Amu~Cookie,10931,254,[('Adrenaline 5', 42), ('Adrenaline 4.2', 34), ('Justice', 34), ("Yo'Ci", 34), ('Adrenaline 4.1', 34), ('Generic World', 34), ('4u', 42)]
668,PaHDeRa,10963,220,[('Genericore 8', 38), ('Firestone', 38), ('Generic World', 34), ('New Generation', 38), ('Ton', 34), ('HellCore', 38)]
669,Lady Saavik,10965,34,[('Justice', 34)]
670,Kati,11078,110,[('Binary', 34), ('Ton', 34), ('Back in Time 2', 42)]
671,Jesus Christ,11092,254,[('Binary', 34), ('Justice', 34), ('Regen 2', 34), ('Ravillion', 38), ('Justice 2', 42), ('New Generation', 38), ('Generic World', 34)]
672,Hidden-Ezio,11093,170,[('Binary', 34), ('Genericore 6', 34), ('Aimazing', 34), ('4q', 34), ('Generic World', 34)]
673,|Å–aÃ¾Å§urÄ™|,11108,34,[('Justice', 34)]
674,â˜†.SÏ…sÐ½Î¹â™ª,11231,118,[('Generic World', 34), ('Heartcore', 42), ('Justice 2', 42)]
675,jao,11256,156,[('Not Naufrage 4', 34), ('Genericore 8', 38), ('Justice 2', 42), ('4u', 42)]
676,maggi323,11389,178,[('Regen 2', 34), ('Springlobe 3', 34), ('Falling Down', 38), ('Not Naufrage 4', 34), ('HellCore', 38)]
677,Â©ÃŸÃ¸Ã¦Ã¸Â®,11397,38,[('Ravillion', 38)]
678,Â«ÃˆniÂ®ÃµÂ§|*>,11461,42,[('4u', 42)]
679,Lexin,11464,816,[('Aimlicious', 42), ('Justice', 34), ('The Enchanted Clearing', 34), ('Heartcore', 42), ('4q', 34), ('4u', 42), ('Resistance', 38), ('Regen 2', 34), ('Ravillion', 38), ('Justice 2', 42), ('Aimazing', 34), ('Binary', 34), ('Genericore 8', 38), ('Not Naufrage 4', 34), ('Shockwave', 34), ('Genericore 6', 34), ('Springlobe 3', 34), ('New Generation', 38), ('Ghoul', 42), ('Ton', 34), ('Back in Time 2', 42), ('HellCore', 38)]
680,iParano,11561,406,[('Shockwave', 34), ("Yo'Ci", 34), ('Tatooine 2', 42), ('Springlobe 3', 34), ('Adrenaline 4', 50), ('Not Naufrage 4', 34), ('Adrenaline 4.1', 34), ('4q', 34), ('New Generation', 38), ('Shawker', 34), ('Resistance', 38)]
681,yishun,11566,76,[('Aimlicious', 42), ('Genericore 6', 34)]
